year,bioenergy,solar,wind,hydro,nuclear,oil,gas,coal,renewable_generation_twh,total_generation_twh,renewable_share_percent,total_emission_mtco2
1985,0.0,0.0,0.0,51.813046,4.507788,11.868,2.158,116.039,51.813046,186.385834,27.798811147847214,105.25306563999999
1986,0.0,0.0,0.0,52.568764,5.020438,11.504,3.682,129.902,52.568764,202.677202,25.937186561318327,117.10730031199998
1987,0.0,0.0,0.0,48.962532,5.3209577,12.351,4.235,152.8,48.962532,223.6694897,21.890572588005504,136.7705916204
1988,0.0,0.0,0.0,54.614944,6.076675,12.333,3.604,164.676,54.614944,241.304619,22.633194601218968,146.218079876
1989,0.0,0.0,0.0,63.369778,4.021654,12.805,7.275,184.975,63.369778,272.44643199999996,23.259536759138033,165.02168895999998
1990,0.0,0.0,0.030303031,66.397064,6.3948717,13.312,9.958,191.633,66.427367031,287.725238731,23.0870838178726,172.212020049741
1991,0.0,0.0,0.11291,73.918884,5.413765,13.444,13.355,214.118,74.031794,320.36255900000003,23.108753479522555,192.431152726
1992,0.0,0.0,0.08847,70.060745,6.4037104,14.811,16.258,229.412,70.149215,337.0339254,20.81369551054696,207.4024606748
1993,0.0,0.0,0.09477,70.7325,6.2269344,14.208,17.878,252.784,70.82727,361.9242044,19.569641692635024,226.9157156828
1994,0.0,0.0,0.19128,80.21211,4.9453087,15.747,21.882,264.609,80.40339,387.5866987,20.744620563522968,239.73663622439997
1995,0.0,0.001010101,0.49647,75.920876,7.6146264,16.826,29.434,296.292,76.418356101,426.584982501,17.913981793960797,270.233905645345
1996,0.0,0.006060606,0.87838,69.05754,8.401279,19.848,32.024,312.234,69.941980606,442.449259606,15.807909966508513,286.79814041527
1997,0.0,0.006060606,0.988,70.211006,10.071813,20.889,40.179,325.827,71.205066606,468.171879606,15.209172038680355,302.73655650727005
1998,0.0,0.006060606,1.079,83.63273,11.371117,21.038,50.175,336.484,84.717790606,503.78590760599997,16.81622874458329,316.55387605127
1999,0.0,0.006060606,1.446,82.24945,12.727872,24.802,59.009,365.436,83.701510606,545.6763826060001,15.339038535306337,347.42332099127
2000,1.69,0.01,1.58,76.99,15.77,29.16,55.96,390.23,80.27,571.39,14.048198253382102,369.57003000000003
2001,2.07,0.01,2.09,72.02,18.89,26.79,55.93,408.29,76.18999999999998,586.09,12.999709942159052,382.6491
2002,2.14,0.01,2.09,68.54,19.35,27.93,62.88,426.7,72.78,609.64,11.938193031953285,401.9888
2003,2.71,0.02,2.6,69.3,18.14,31.09,72.8,441.47,74.63,638.13,11.695109147039004,421.31678
2004,3.31,0.02,5.23,100.64,21.26,28.27,76.58,463.01,109.2,698.3199999999999,15.637530072173217,438.96071
2005,4.04,0.02,5.99,97.42,17.73,25.37,75.47,478.48,107.47000000000001,704.52,15.254357576789873,448.93853
2006,5.59,0.01,9.34,112.62,17.63,19.08,74.7,505.46,127.56,744.43,17.13525784828661,466.18823000000003
2007,7.4,0.06,11.68,122.61,17.83,13.36,90.05,533.27,141.75,796.26,17.801974229523022,492.42387999999994
2008,9.3,0.06,14.38,115.17,15.23,15.27,85.88,573.12,138.91000000000003,828.41,16.76826692096909,524.51572
2009,11.64,0.08,16.27,106.34,16.82,13.08,104.37,611.11,134.32999999999998,879.71,15.269804822043625,563.2060700000001
2010,14.3,0.11,19.46,108.74,23.08,10.78,118.03,642.97,142.61,937.47,15.212220124377316,594.55023
2011,17.14,0.83,23.95,131.7,32.22,9.35,117.56,701.25,173.62,1034.0,16.79110251450677,641.4482399999999
2012,19.94,2.1,27.43,115.78,33.14,10.07,96.25,787.13,165.25,1091.84,15.13500146541618,702.11553
2013,22.48,3.43,30.01,131.98,33.31,10.65,66.31,847.97,187.89999999999998,1146.1399999999999,16.39415778177186,738.0196000000001
2014,24.68,4.91,33.45,139.0,34.69,11.55,64.01,949.93,202.04000000000002,1262.22,16.006718321687188,821.40288
2015,30.62,6.57,32.74,133.28,38.31,9.26,64.77,1006.55,203.21,1322.1,15.370244308297407,866.83413
2016,24.82,11.56,43.45,128.38,37.9,9.41,72.62,1073.6,208.20999999999998,1401.7399999999998,14.853681852554681,925.8584699999999
2017,24.91,21.54,52.63,135.82,37.41,8.79,74.99,1115.24,234.9,1471.33,15.965147179762528,961.28333
2018,27.22,36.33,60.31,139.75,39.05,6.4,71.26,1198.86,263.61,1579.1799999999998,16.69284058815335,1027.13326
2019,31.51,46.27,63.31,162.07,45.16,3.07,71.95,1198.76,303.15999999999997,1622.1,18.68935330744097,1025.73966
2020,32.86,58.68,60.43,163.7,44.61,3.09,74.79,1143.78,315.67,1581.94,19.954612690746803,982.64315
2021,35.5,68.31,68.09,160.34,43.92,3.39,60.4,1255.56,332.24,1695.51,19.595284014839194,1068.07514
2022,38.57,95.16,70.05,174.94,46.19,3.68,46.48,1354.23,378.71999999999997,1829.3,20.703001147980103,1143.8165900000001
2023,37.28,113.41,82.11,149.17,48.2,4.18,52.61,1471.28,381.9699999999999,1958.24,19.50578070103766,1243.9946400000001
2024,35.83,133.81,81.57,156.21,54.7,4.22,57.12,1534.08,407.42,2057.54,19.801316134801755,1298.6903599999998
